final_price,list_price,bedrooms,Dens,bathrooms,size,parking,type,latitude,longitude,mean_district_income,district_code,School_min_dist_km
345000,349900,3,0,2,1500,1,Condo Apt,43.6950038,-79.5548335,36674,6,0.455969518
340000,319000,2,0,1,1100,1,Condo Apt,43.6958184,-79.5563257,36674,6,0.501190613
225000,249900,2,0,1,950,1,Condo Apt,43.6966169,-79.5523535,36674,6,0.188104552
298000,298000,2,0,1,1100,1,Condo Apt,43.6958184,-79.5563257,36674,6,0.501190613
233000,219999,2,0,1,1100,1,Condo Apt,43.6960376,-79.5541097,36674,6,0.336450295
225000,234900,2,0,1,950,1,Condo Apt,43.6960376,-79.5541097,36674,6,0.336450295
255000,249000,2,0,1,850,1,Condo Apt,43.6959817,-79.5530999,36674,6,0.280825172
515000,519000,1,0,2,1500,2,Condo Apt,43.6984965,-79.5481243,36674,6,0.225886005
777000,788888,2,1,2,2124,2,Condo Apt,43.6982421,-79.5479308,36674,6,0.234253458
179000,179000,1,0,1,850,1,Condo Apt,43.6959817,-79.5530999,36674,6,0.280825172
615000,629000,2,1,2,1900,2,Condo Apt,43.6982421,-79.5479308,36674,6,0.234253458
205000,209900,2,0,1,950,1,Condo Apt,43.6966169,-79.5523535,36674,6,0.188104552
560000,579975,1,1,2,1500,2,Condo Apt,43.6982421,-79.5479308,36674,6,0.234253458
287000,289000,3,0,2,1300,1,Condo Apt,43.6966169,-79.5523535,36674,6,0.188104552
540000,549000,3,1,3,1900,1,Condo Townhouse,43.6991231,-79.5459156,36674,6,0.281708941
318000,319900,1,0,1,850,1,Condo Apt,43.6953637,-79.5507031,36674,6,0.279140839
246000,249900,2,0,1,950,1,Condo Apt,43.6960376,-79.5541097,36674,6,0.336450295
277500,269900,2,0,1,950,1,Condo Apt,43.6958184,-79.5563257,36674,6,0.501190613
735000,788000,2,0,3,2374,1,Condo Apt,43.6982421,-79.5479308,36674,6,0.234253458
321000,319000,2,0,1,850,1,Condo Apt,43.6952016,-79.5567,36674,6,0.561285785
322000,324900,2,0,1,850,1,Condo Apt,43.6952016,-79.5567,36674,6,0.561285785
229000,229000,2,0,1,950,1,Condo Apt,43.6960376,-79.5541097,36674,6,0.336450295
254900,254900,2,0,1,950,1,Condo Apt,43.6960376,-79.5541097,36674,6,0.336450295
252000,239000,1,0,1,750,1,Condo Apt,43.6952016,-79.5567,36674,6,0.561285785
172000,169900,1,0,1,850,1,Comm Element Condo,43.6959817,-79.5530999,36674,6,0.280825172
